  PATHSUM
  -------

  The PATHSUM package was developed by Sohang Kundu and Nancy Makri
  See J. Chem. Phys. 158, 224801 (2023)
  The Fortran code was written by Nancy Makri

  Key ideas that led to the algorithms used in the 
  PATHSUM code are described in the following papers:
  J. Math. Phys. 36, 2430-2457 (1995)
  J. Chem. Phys. 141, 134117 (2014)
  J. Chem. Phys. 152, 041104 (2020)

  Discrete system with  2 states
  Reciprocal temperature beta =    5.000 a.u.
  Time step dt =   0.200 a.u.
  Path threshold =  0.1D-39
  Common bath
  sdvr values:  1.00 -1.00

  Hamiltonian matrix in a.u.:
      1.00   -1.00
     -1.00   -1.00

   Eigenvalues of system Hamiltonian:
   -1.414214
    1.414214

  Ohmic spectral density with xi = 0.10   wc = 7.50
  Reorganization energy =   1.50000 a.u.

  PATHSUM results below: time (in a.u.), site populations and norm
  Real and imaginary parts of RDM in files ReRDM and ImRDM

  SMatPI RESULTS
  The SMatPI decomposition is described in
  J. Chem. Phys. 152, 041104 (2020)
  J. Chem. Theory and Comput. 16, 4038-4049 (2020)
  J. Chem. Theory and Comput. 17, 1-6 (2021)
  Calculations within entanglement interval performed using QuAPI
  The QuAPI method is described in Chem. Phys. Lett. 193, 435-444 (1992)

  Entanglement length rmax =  6*dt  Extended memory length L =  6*dt
          5.800   0.200604609   0.799395391   1.000000000
          6.000   0.201735841   0.798264159   1.000000000
          6.200   0.213866520   0.786133480   1.000000000
          6.400   0.230568624   0.769431376   1.000000000
          6.600   0.244853873   0.755146127   1.000000000
          6.800   0.251190829   0.748809171   1.000000000
          7.000   0.246917295   0.753082705   1.000000000
          7.200   0.232708365   0.767291635   1.000000000
          7.400   0.212059308   0.787940692   1.000000000
          7.600   0.190023988   0.809976012   1.000000000
          7.800   0.171636070   0.828363930   1.000000000
          8.000   0.160488436   0.839511564   1.000000000
          8.200   0.157855807   0.842144193   1.000000000
          8.400   0.162555370   0.837444630   1.000000000
          8.600   0.171513501   0.828486499   1.000000000
          8.800   0.180810778   0.819189222   1.000000000
          9.000   0.186864707   0.813135293   1.000000000
          9.200   0.187403623   0.812596377   1.000000000
          9.400   0.181977484   0.818022516   1.000000000
          9.600   0.171906295   0.828093705   1.000000000
          9.800   0.159734926   0.840265074   1.000000000
         10.000   0.148395530   0.851604470   1.000000000
         10.200   0.140341759   0.859658241   1.000000000
         10.400   0.136901426   0.863098574   1.000000000
         10.600   0.138008940   0.861991060   1.000000000
         10.800   0.142356269   0.857643731   1.000000000
         11.000   0.147879512   0.852120488   1.000000000
         11.200   0.152411629   0.847588371   1.000000000
         11.400   0.154301357   0.845698643   1.000000000
         11.600   0.152827214   0.847172786   1.000000000
         11.800   0.148309662   0.851690338   1.000000000
         12.000   0.141918970   0.858081030   1.000000000
         12.200   0.135262229   0.864737771   1.000000000
         12.400   0.129887194   0.870112806   1.000000000
         12.600   0.126850764   0.873149236   1.000000000
         12.800   0.126467448   0.873532552   1.000000000
         13.000   0.128291332   0.871708668   1.000000000
         13.200   0.131314090   0.868685910   1.000000000
         13.400   0.134302426   0.865697574   1.000000000
         13.600   0.136166404   0.863833596   1.000000000
         13.800   0.136251910   0.863748090   1.000000000
         14.000   0.134482153   0.865517847   1.000000000
         14.200   0.131322891   0.868677109   1.000000000
         14.400   0.127598191   0.872401809   1.000000000
         14.600   0.124223026   0.875776974   1.000000000
         14.800   0.121936097   0.878063903   1.000000000
         15.000   0.121108113   0.878891887   1.000000000
         15.200   0.121672289   0.878327711   1.000000000
         15.400   0.123184839   0.876815161   1.000000000
         15.600   0.124985894   0.875014106   1.000000000
         15.800   0.126405805   0.873594195   1.000000000
         16.000   0.126954333   0.873045667   1.000000000
         16.200   0.126441064   0.873558936   1.000000000
         16.400   0.124999756   0.875000244   1.000000000
         16.600   0.123019017   0.876980983   1.000000000
         16.800   0.121007885   0.878992115   1.000000000
         17.000   0.119440459   0.880559541   1.000000000
         17.200   0.118625375   0.881374625   1.000000000
         17.400   0.118634510   0.881365490   1.000000000
         17.600   0.119305294   0.880694706   1.000000000
         17.800   0.120308858   0.879691142   1.000000000
         18.000   0.121258497   0.878741503   1.000000000
         18.200   0.121823971   0.878176029   1.000000000
         18.400   0.121818886   0.878181114   1.000000000
         18.600   0.121239137   0.878760863   1.000000000
         18.800   0.120246280   0.879753720   1.000000000
         19.000   0.119105854   0.880894146   1.000000000
         19.200   0.118102357   0.881897643   1.000000000
         19.400   0.117457092   0.882542908   1.000000000
         19.600   0.117271748   0.882728252   1.000000000
         19.800   0.117511143   0.882488857   1.000000000
         20.000   0.118026191   0.881973809   1.000000000
         20.200   0.118606768   0.881393232   1.000000000
         20.400   0.119046679   0.880953321   1.000000000
         20.600   0.119201254   0.880798746   1.000000000
         20.800   0.119022074   0.880977926   1.000000000
         21.000   0.118561217   0.881438783   1.000000000
         21.200   0.117946798   0.882053202   1.000000000
         21.400   0.117339442   0.882660558   1.000000000
         21.600   0.116883804   0.883116196   1.000000000
         21.800   0.116669264   0.883330736   1.000000000
         22.000   0.116709998   0.883290002   1.000000000
         22.200   0.116948163   0.883051837   1.000000000
         22.400   0.117277068   0.882722932   1.000000000
         22.600   0.117575882   0.882424118   1.000000000
         22.800   0.117744980   0.882255020   1.000000000
         23.000   0.117731909   0.882268091   1.000000000
         23.200   0.117541560   0.882458440   1.000000000
         23.400   0.117229209   0.882770791   1.000000000
         23.600   0.116880029   0.883119971   1.000000000
         23.800   0.116582166   0.883417834   1.000000000
         24.000   0.116401566   0.883598434   1.000000000
         24.200   0.116365496   0.883634504   1.000000000
         24.400   0.116458551   0.883541449   1.000000000
         24.600   0.116631074   0.883368926   1.000000000
         24.800   0.116816412   0.883183588   1.000000000
         25.000   0.116951305   0.883048695   1.000000000
         25.200   0.116993349   0.883006651   1.000000000
         25.400   0.116930905   0.883069095   1.000000000
         25.600   0.116783380   0.883216620   1.000000000
         25.800   0.116592738   0.883407262   1.000000000
         26.000   0.116409479   0.883590521   1.000000000
         26.200   0.116277558   0.883722442   1.000000000
         26.400   0.116222611   0.883777389   1.000000000
         26.600   0.116246479   0.883753521   1.000000000
         26.800   0.116328961   0.883671039   1.000000000
         27.000   0.116435614   0.883564386   1.000000000
         27.200   0.116528815   0.883471185   1.000000000
         27.400   0.116578648   0.883421352   1.000000000
         27.600   0.116570576   0.883429424   1.000000000
         27.800   0.116508040   0.883491960   1.000000000
         28.000   0.116409738   0.883590262   1.000000000
         28.200   0.116302872   0.883697128   1.000000000
         28.400   0.116214655   0.883785345   1.000000000
         28.600   0.116164623   0.883835377   1.000000000
         28.800   0.116159865   0.883840135   1.000000000
         29.000   0.116194216   0.883805784   1.000000000
         29.200   0.116251256   0.883748744   1.000000000
         29.400   0.116309923   0.883690077   1.000000000
         29.600   0.116350882   0.883649118   1.000000000
         29.800   0.116361798   0.883638202   1.000000000
         30.000   0.116340130   0.883659870   1.000000000
         30.200   0.116292893   0.883707107   1.000000000
         30.400   0.116233754   0.883766246   1.000000000
         30.600   0.116178532   0.883821468   1.000000000
         30.800   0.116140526   0.883859474   1.000000000
         31.000   0.116127007   0.883872993   1.000000000
         31.200   0.116137741   0.883862259   1.000000000
         31.400   0.116165780   0.883834220   1.000000000
         31.600   0.116200054   0.883799946   1.000000000
         31.800   0.116228890   0.883771110   1.000000000
         32.000   0.116243349   0.883756651   1.000000000
         32.200   0.116239480   0.883760520   1.000000000
         32.400   0.116218947   0.883781053   1.000000000
         32.600   0.116188015   0.883811985   1.000000000
         32.800   0.116155338   0.883844662   1.000000000
         33.000   0.116129283   0.883870717   1.000000000
         33.200   0.116115604   0.883884396   1.000000000
         33.400   0.116116062   0.883883938   1.000000000
         33.600   0.116128316   0.883871684   1.000000000
         33.800   0.116146975   0.883853025   1.000000000
         34.000   0.116165406   0.883834594   1.000000000
         34.200   0.116177723   0.883822277   1.000000000
         34.400   0.116180369   0.883819631   1.000000000
         34.600   0.116172893   0.883827107   1.000000000
         34.800   0.116157775   0.883842225   1.000000000
         35.000   0.116139442   0.883860558   1.000000000
         35.200   0.116122831   0.883877169   1.000000000
         35.400   0.116111948   0.883888052   1.000000000
         35.600   0.116108827   0.883891173   1.000000000
         35.800   0.116113145   0.883886855   1.000000000
         36.000   0.116122539   0.883877461   1.000000000
         36.200   0.116133468   0.883866532   1.000000000
         36.400   0.116142322   0.883857678   1.000000000
         36.600   0.116146445   0.883853555   1.000000000
         36.800   0.116144790   0.883855210   1.000000000
         37.000   0.116138059   0.883861941   1.000000000
         37.200   0.116128332   0.883871668   1.000000000
         37.400   0.116118352   0.883881648   1.000000000
         37.600   0.116110684   0.883889316   1.000000000
         37.800   0.116107007   0.883892993   1.000000000
         38.000   0.116107731   0.883892269   1.000000000
         38.200   0.116111998   0.883888002   1.000000000
         38.400   0.116118047   0.883881953   1.000000000
         38.600   0.116123798   0.883876202   1.000000000
         38.800   0.116127465   0.883872535   1.000000000
         39.000   0.116128035   0.883871965   1.000000000
         39.200   0.116125472   0.883874528   1.000000000
         39.400   0.116120638   0.883879362   1.000000000
         39.600   0.116114960   0.883885040   1.000000000
         39.800   0.116109975   0.883890025   1.000000000
         40.000   0.116106882   0.883893118   1.000000000
         40.200   0.116106241   0.883893759   1.000000000
         40.400   0.116107873   0.883892127   1.000000000
         40.600   0.116110984   0.883889016   1.000000000
         40.800   0.116114444   0.883885556   1.000000000
         41.000   0.116117143   0.883882857   1.000000000
         41.200   0.116118295   0.883881705   1.000000000
         41.400   0.116117633   0.883882367   1.000000000
         41.600   0.116115431   0.883884569   1.000000000
         41.800   0.116112376   0.883887624   1.000000000
         42.000   0.116109333   0.883890667   1.000000000
         42.200   0.116107085   0.883892915   1.000000000
         42.400   0.116106119   0.883893881   1.000000000
         42.600   0.116106519   0.883893481   1.000000000
         42.800   0.116107978   0.883892022   1.000000000
         43.000   0.116109924   0.883890076   1.000000000
         43.200   0.116111706   0.883888294   1.000000000
         43.400   0.116112787   0.883887213   1.000000000
         43.600   0.116112880   0.883887120   1.000000000
         43.800   0.116112007   0.883887993   1.000000000
         44.000   0.116110464   0.883889536   1.000000000
         44.200   0.116108708   0.883891292   1.000000000
         44.400   0.116107216   0.883892784   1.000000000
         44.600   0.116106345   0.883893655   1.000000000
         44.800   0.116106246   0.883893754   1.000000000
         45.000   0.116106839   0.883893161   1.000000000
         45.200   0.116107859   0.883892141   1.000000000
         45.400   0.116108948   0.883891052   1.000000000
         45.600   0.116109765   0.883890235   1.000000000
         45.800   0.116110079   0.883889921   1.000000000
         46.000   0.116109825   0.883890175   1.000000000
         46.200   0.116109106   0.883890894   1.000000000
         46.400   0.116108148   0.883891852   1.000000000
         46.600   0.116107222   0.883892778   1.000000000
         46.800   0.116106566   0.883893434   1.000000000
         47.000   0.116106321   0.883893679   1.000000000
         47.200   0.116106498   0.883893502   1.000000000
         47.400   0.116106989   0.883893011   1.000000000
         47.600   0.116107611   0.883892389   1.000000000
         47.800   0.116108160   0.883891840   1.000000000
         48.000   0.116108475   0.883891525   1.000000000
         48.200   0.116108477   0.883891523   1.000000000
         48.400   0.116108181   0.883891819   1.000000000
         48.600   0.116107689   0.883892311   1.000000000
         48.800   0.116107147   0.883892853   1.000000000
         49.000   0.116106702   0.883893298   1.000000000
         49.200   0.116106459   0.883893541   1.000000000
         49.400   0.116106459   0.883893541   1.000000000
         49.600   0.116106669   0.883893331   1.000000000
         49.800   0.116107001   0.883892999   1.000000000
         50.000   0.116107341   0.883892659   1.000000000
         50.200   0.116107587   0.883892413   1.000000000
         50.400   0.116107669   0.883892331   1.000000000
         50.600   0.116107575   0.883892425   1.000000000
         50.800   0.116107342   0.883892658   1.000000000
         51.000   0.116107041   0.883892959   1.000000000
         51.200   0.116106760   0.883893240   1.000000000
         51.400   0.116106570   0.883893430   1.000000000
         51.600   0.116106511   0.883893489   1.000000000
         51.800   0.116106581   0.883893419   1.000000000
         52.000   0.116106745   0.883893255   1.000000000
         52.200   0.116106943   0.883893057   1.000000000
         52.400   0.116107111   0.883892889   1.000000000
         52.600   0.116107201   0.883892799   1.000000000
         52.800   0.116107193   0.883892807   1.000000000
         53.000   0.116107094   0.883892906   1.000000000
         53.200   0.116106937   0.883893063   1.000000000
         53.400   0.116106770   0.883893230   1.000000000
         53.600   0.116106638   0.883893362   1.000000000
         53.800   0.116106571   0.883893429   1.000000000
         54.000   0.116106580   0.883893420   1.000000000
         54.200   0.116106653   0.883893347   1.000000000
         54.400   0.116106760   0.883893240   1.000000000
         54.600   0.116106866   0.883893134   1.000000000
         54.800   0.116106939   0.883893061   1.000000000
         55.000   0.116106960   0.883893040   1.000000000
         55.200   0.116106926   0.883893074   1.000000000
         55.400   0.116106850   0.883893150   1.000000000
         55.600   0.116106756   0.883893244   1.000000000
         55.800   0.116106671   0.883893329   1.000000000
         56.000   0.116106616   0.883893384   1.000000000
         56.200   0.116106603   0.883893397   1.000000000
         56.400   0.116106630   0.883893370   1.000000000
         56.600   0.116106684   0.883893316   1.000000000
         56.800   0.116106746   0.883893254   1.000000000
         57.000   0.116106798   0.883893202   1.000000000
         57.200   0.116106823   0.883893177   1.000000000
         57.400   0.116106818   0.883893182   1.000000000
         57.600   0.116106785   0.883893215   1.000000000
         57.800   0.116106735   0.883893265   1.000000000
         58.000   0.116106684   0.883893316   1.000000000
         58.200   0.116106644   0.883893356   1.000000000
         58.400   0.116106626   0.883893374   1.000000000
         58.600   0.116106632   0.883893368   1.000000000
         58.800   0.116106657   0.883893343   1.000000000
         59.000   0.116106691   0.883893309   1.000000000
         59.200   0.116106724   0.883893276   1.000000000
         59.400   0.116106746   0.883893254   1.000000000
         59.600   0.116106751   0.883893249   1.000000000
         59.800   0.116106738   0.883893262   1.000000000
         60.000   0.116106714   0.883893286   1.000000000
         60.200   0.116106685   0.883893315   1.000000000
         60.400   0.116106659   0.883893341   1.000000000
         60.600   0.116106643   0.883893357   1.000000000
         60.800   0.116106641   0.883893359   1.000000000
         61.000   0.116106650   0.883893350   1.000000000
         61.200   0.116106668   0.883893332   1.000000000
         61.400   0.116106688   0.883893312   1.000000000
         61.600   0.116106703   0.883893297   1.000000000
         61.800   0.116106710   0.883893290   1.000000000
         62.000   0.116106708   0.883893292   1.000000000
         62.200   0.116106697   0.883893303   1.000000000
         62.400   0.116106681   0.883893319   1.000000000
         62.600   0.116106665   0.883893335   1.000000000
         62.800   0.116106654   0.883893346   1.000000000
         63.000   0.116106649   0.883893351   1.000000000
         63.200   0.116106652   0.883893348   1.000000000
         63.400   0.116106660   0.883893340   1.000000000
         63.600   0.116106671   0.883893329   1.000000000
         63.800   0.116106681   0.883893319   1.000000000
         64.000   0.116106687   0.883893313   1.000000000
         64.200   0.116106688   0.883893312   1.000000000
         64.400   0.116106684   0.883893316   1.000000000
         64.600   0.116106676   0.883893324   1.000000000
         64.800   0.116106667   0.883893333   1.000000000
         65.000   0.116106659   0.883893341   1.000000000
         65.200   0.116106655   0.883893345   1.000000000
         65.400   0.116106655   0.883893345   1.000000000
         65.600   0.116106658   0.883893342   1.000000000
         65.800   0.116106664   0.883893336   1.000000000
         66.000   0.116106670   0.883893330   1.000000000
         66.200   0.116106675   0.883893325   1.000000000
         66.400   0.116106677   0.883893323   1.000000000
         66.600   0.116106676   0.883893324   1.000000000
         66.800   0.116106672   0.883893328   1.000000000
         67.000   0.116106667   0.883893333   1.000000000
         67.200   0.116106662   0.883893338   1.000000000
         67.400   0.116106659   0.883893341   1.000000000
         67.600   0.116106658   0.883893342   1.000000000
         67.800   0.116106659   0.883893341   1.000000000
         68.000   0.116106661   0.883893339   1.000000000
         68.200   0.116106665   0.883893335   1.000000000
         68.400   0.116106668   0.883893332   1.000000000
         68.600   0.116106670   0.883893330   1.000000000
         68.800   0.116106670   0.883893330   1.000000000
         69.000   0.116106669   0.883893331   1.000000000
         69.200   0.116106666   0.883893334   1.000000000
         69.400   0.116106663   0.883893337   1.000000000
         69.600   0.116106661   0.883893339   1.000000000
         69.800   0.116106660   0.883893340   1.000000000
         70.000   0.116106660   0.883893340   1.000000000
         70.200   0.116106661   0.883893339   1.000000000
         70.400   0.116106663   0.883893337   1.000000000
         70.600   0.116106665   0.883893335   1.000000000
         70.800   0.116106666   0.883893334   1.000000000
         71.000   0.116106667   0.883893333   1.000000000
         71.200   0.116106666   0.883893334   1.000000000
         71.400   0.116106665   0.883893335   1.000000000
         71.600   0.116106663   0.883893337   1.000000000
         71.800   0.116106662   0.883893338   1.000000000
         72.000   0.116106661   0.883893339   1.000000000
         72.200   0.116106661   0.883893339   1.000000000
         72.400   0.116106661   0.883893339   1.000000000
         72.600   0.116106662   0.883893338   1.000000000
         72.800   0.116106663   0.883893337   1.000000000
         73.000   0.116106664   0.883893336   1.000000000
         73.200   0.116106665   0.883893335   1.000000000
         73.400   0.116106665   0.883893335   1.000000000
         73.600   0.116106664   0.883893336   1.000000000
         73.800   0.116106663   0.883893337   1.000000000
         74.000   0.116106662   0.883893338   1.000000000
         74.200   0.116106662   0.883893338   1.000000000
         74.400   0.116106661   0.883893339   1.000000000
         74.600   0.116106661   0.883893339   1.000000000
         74.800   0.116106662   0.883893338   1.000000000
         75.000   0.116106662   0.883893338   1.000000000
         75.200   0.116106663   0.883893337   1.000000000
         75.400   0.116106663   0.883893337   1.000000000
         75.600   0.116106663   0.883893337   1.000000000
         75.800   0.116106663   0.883893337   1.000000000
         76.000   0.116106663   0.883893337   1.000000000
         76.200   0.116106662   0.883893338   1.000000000
         76.400   0.116106662   0.883893338   1.000000000
         76.600   0.116106662   0.883893338   1.000000000
         76.800   0.116106662   0.883893338   1.000000000
         77.000   0.116106662   0.883893338   1.000000000
         77.200   0.116106662   0.883893338   1.000000000
         77.400   0.116106662   0.883893338   1.000000000
         77.600   0.116106663   0.883893337   1.000000000
         77.800   0.116106663   0.883893337   1.000000000
         78.000   0.116106663   0.883893337   1.000000000
         78.200   0.116106663   0.883893337   1.000000000
         78.400   0.116106662   0.883893338   1.000000000
         78.600   0.116106662   0.883893338   1.000000000
         78.800   0.116106662   0.883893338   1.000000000
         79.000   0.116106662   0.883893338   1.000000000
         79.200   0.116106662   0.883893338   1.000000000
         79.400   0.116106662   0.883893338   1.000000000
         79.600   0.116106662   0.883893338   1.000000000
         79.800   0.116106662   0.883893338   1.000000000
         80.000   0.116106663   0.883893337   1.000000000
         80.200   0.116106663   0.883893337   1.000000000
         80.400   0.116106663   0.883893337   1.000000000
         80.600   0.116106662   0.883893338   1.000000000
         80.800   0.116106662   0.883893338   1.000000000
         81.000   0.116106662   0.883893338   1.000000000
         81.200   0.116106662   0.883893338   1.000000000
         81.400   0.116106662   0.883893338   1.000000000
         81.600   0.116106662   0.883893338   1.000000000
         81.800   0.116106662   0.883893338   1.000000000
         82.000   0.116106662   0.883893338   1.000000000
         82.200   0.116106662   0.883893338   1.000000000
         82.400   0.116106662   0.883893338   1.000000000
         82.600   0.116106662   0.883893338   1.000000000
         82.800   0.116106662   0.883893338   1.000000000
         83.000   0.116106662   0.883893338   1.000000000
         83.200   0.116106662   0.883893338   1.000000000
         83.400   0.116106662   0.883893338   1.000000000
         83.600   0.116106662   0.883893338   1.000000000
         83.800   0.116106662   0.883893338   1.000000000
         84.000   0.116106662   0.883893338   1.000000000
         84.200   0.116106662   0.883893338   1.000000000
         84.400   0.116106662   0.883893338   1.000000000
         84.600   0.116106662   0.883893338   1.000000000
         84.800   0.116106662   0.883893338   1.000000000
         85.000   0.116106662   0.883893338   1.000000000
         85.200   0.116106662   0.883893338   1.000000000
         85.400   0.116106662   0.883893338   1.000000000
         85.600   0.116106662   0.883893338   1.000000000
         85.800   0.116106662   0.883893338   1.000000000
         86.000   0.116106662   0.883893338   1.000000000
         86.200   0.116106662   0.883893338   1.000000000
         86.400   0.116106662   0.883893338   1.000000000
         86.600   0.116106662   0.883893338   1.000000000
         86.800   0.116106662   0.883893338   1.000000000
         87.000   0.116106662   0.883893338   1.000000000
         87.200   0.116106662   0.883893338   1.000000000
         87.400   0.116106662   0.883893338   1.000000000
         87.600   0.116106662   0.883893338   1.000000000
         87.800   0.116106662   0.883893338   1.000000000
         88.000   0.116106662   0.883893338   1.000000000
         88.200   0.116106662   0.883893338   1.000000000
         88.400   0.116106662   0.883893338   1.000000000
         88.600   0.116106662   0.883893338   1.000000000
         88.800   0.116106662   0.883893338   1.000000000
         89.000   0.116106662   0.883893338   1.000000000
         89.200   0.116106662   0.883893338   1.000000000
         89.400   0.116106662   0.883893338   1.000000000
         89.600   0.116106662   0.883893338   1.000000000
         89.800   0.116106662   0.883893338   1.000000000
         90.000   0.116106662   0.883893338   1.000000000
         90.200   0.116106662   0.883893338   1.000000000
         90.400   0.116106662   0.883893338   1.000000000
         90.600   0.116106662   0.883893338   1.000000000
         90.800   0.116106662   0.883893338   1.000000000
         91.000   0.116106662   0.883893338   1.000000000
         91.200   0.116106662   0.883893338   1.000000000
         91.400   0.116106662   0.883893338   1.000000000
         91.600   0.116106662   0.883893338   1.000000000
         91.800   0.116106662   0.883893338   1.000000000
         92.000   0.116106662   0.883893338   1.000000000
         92.200   0.116106662   0.883893338   1.000000000
         92.400   0.116106662   0.883893338   1.000000000
         92.600   0.116106662   0.883893338   1.000000000
         92.800   0.116106662   0.883893338   1.000000000
         93.000   0.116106662   0.883893338   1.000000000
         93.200   0.116106662   0.883893338   1.000000000
         93.400   0.116106662   0.883893338   1.000000000
         93.600   0.116106662   0.883893338   1.000000000
         93.800   0.116106662   0.883893338   1.000000000
         94.000   0.116106662   0.883893338   1.000000000
         94.200   0.116106662   0.883893338   1.000000000
         94.400   0.116106662   0.883893338   1.000000000
         94.600   0.116106662   0.883893338   1.000000000
         94.800   0.116106662   0.883893338   1.000000000
         95.000   0.116106662   0.883893338   1.000000000
         95.200   0.116106662   0.883893338   1.000000000
         95.400   0.116106662   0.883893338   1.000000000
         95.600   0.116106662   0.883893338   1.000000000
         95.800   0.116106662   0.883893338   1.000000000
         96.000   0.116106662   0.883893338   1.000000000
         96.200   0.116106662   0.883893338   1.000000000
         96.400   0.116106662   0.883893338   1.000000000
         96.600   0.116106662   0.883893338   1.000000000
         96.800   0.116106662   0.883893338   1.000000000
         97.000   0.116106662   0.883893338   1.000000000
         97.200   0.116106662   0.883893338   1.000000000
         97.400   0.116106662   0.883893338   1.000000000
         97.600   0.116106662   0.883893338   1.000000000
         97.800   0.116106662   0.883893338   1.000000000
         98.000   0.116106662   0.883893338   1.000000000
         98.200   0.116106662   0.883893338   1.000000000
         98.400   0.116106662   0.883893338   1.000000000
         98.600   0.116106662   0.883893338   1.000000000
         98.800   0.116106662   0.883893338   1.000000000
         99.000   0.116106662   0.883893338   1.000000000
         99.200   0.116106662   0.883893338   1.000000000
         99.400   0.116106662   0.883893338   1.000000000
         99.600   0.116106662   0.883893338   1.000000000
         99.800   0.116106662   0.883893338   1.000000000
        100.000   0.116106662   0.883893338   1.000000000
        100.200   0.116106662   0.883893338   1.000000000
        100.400   0.116106662   0.883893338   1.000000000
        100.600   0.116106662   0.883893338   1.000000000
        100.800   0.116106662   0.883893338   1.000000000
        101.000   0.116106662   0.883893338   1.000000000
        101.200   0.116106662   0.883893338   1.000000000
        101.400   0.116106662   0.883893338   1.000000000
        101.600   0.116106662   0.883893338   1.000000000
        101.800   0.116106662   0.883893338   1.000000000
        102.000   0.116106662   0.883893338   1.000000000
        102.200   0.116106662   0.883893338   1.000000000
        102.400   0.116106662   0.883893338   1.000000000
        102.600   0.116106662   0.883893338   1.000000000
        102.800   0.116106662   0.883893338   1.000000000
        103.000   0.116106662   0.883893338   1.000000000
        103.200   0.116106662   0.883893338   1.000000000
        103.400   0.116106662   0.883893338   1.000000000
        103.600   0.116106662   0.883893338   1.000000000
        103.800   0.116106662   0.883893338   1.000000000
        104.000   0.116106662   0.883893338   1.000000000
        104.200   0.116106662   0.883893338   1.000000000
        104.400   0.116106662   0.883893338   1.000000000
        104.600   0.116106662   0.883893338   1.000000000
        104.800   0.116106662   0.883893338   1.000000000
        105.000   0.116106662   0.883893338   1.000000000
        105.200   0.116106662   0.883893338   1.000000000
        105.400   0.116106662   0.883893338   1.000000000
        105.600   0.116106662   0.883893338   1.000000000
        105.800   0.116106662   0.883893338   1.000000000
        106.000   0.116106662   0.883893338   1.000000000
        106.200   0.116106662   0.883893338   1.000000000
        106.400   0.116106662   0.883893338   1.000000000
        106.600   0.116106662   0.883893338   1.000000000
        106.800   0.116106662   0.883893338   1.000000000
        107.000   0.116106662   0.883893338   1.000000000
        107.200   0.116106662   0.883893338   1.000000000
        107.400   0.116106662   0.883893338   1.000000000
        107.600   0.116106662   0.883893338   1.000000000
        107.800   0.116106662   0.883893338   1.000000000
        108.000   0.116106662   0.883893338   1.000000000
        108.200   0.116106662   0.883893338   1.000000000
        108.400   0.116106662   0.883893338   1.000000000
        108.600   0.116106662   0.883893338   1.000000000
        108.800   0.116106662   0.883893338   1.000000000
        109.000   0.116106662   0.883893338   1.000000000
        109.200   0.116106662   0.883893338   1.000000000
        109.400   0.116106662   0.883893338   1.000000000
        109.600   0.116106662   0.883893338   1.000000000
        109.800   0.116106662   0.883893338   1.000000000
        110.000   0.116106662   0.883893338   1.000000000
        110.200   0.116106662   0.883893338   1.000000000
        110.400   0.116106662   0.883893338   1.000000000
